"","Date","Geography","layer","value"
"1",2020-03-14,"Chicago","Cases",31
"2",2020-03-15,"Chicago","Cases",40
"3",2020-03-16,"Chicago","Cases",78
"4",2020-03-17,"Chicago","Cases",96
"5",2020-03-18,"Chicago","Cases",162
"6",2020-03-19,"Chicago","Cases",183
"7",2020-03-20,"Chicago","Cases",155
"8",2020-03-21,"Chicago","Cases",125
"9",2020-03-22,"Chicago","Cases",168
"10",2020-03-23,"Chicago","Cases",290
"11",2020-03-24,"Chicago","Cases",350
"12",2020-03-25,"Chicago","Cases",367
"13",2020-03-26,"Chicago","Cases",413
"14",2020-03-27,"Chicago","Cases",405
"15",2020-03-28,"Chicago","Cases",248
"16",2020-03-29,"Chicago","Cases",282
"17",2020-03-30,"Chicago","Cases",439
"18",2020-03-31,"Chicago","Cases",489
"19",2020-04-01,"Chicago","Cases",461
"20",2020-04-02,"Chicago","Cases",437
"21",2020-04-03,"Chicago","Cases",467
"22",2020-04-04,"Chicago","Cases",327
"23",2020-04-05,"Chicago","Cases",292
"24",2020-04-06,"Chicago","Cases",583
"25",2020-04-07,"Chicago","Cases",555
"26",2020-04-08,"Chicago","Cases",705
"27",2020-04-09,"Chicago","Cases",576
"28",2020-04-10,"Chicago","Cases",571
"29",2020-04-11,"Chicago","Cases",397
"30",2020-04-12,"Chicago","Cases",341
"31",2020-04-13,"Chicago","Cases",692
"32",2020-04-14,"Chicago","Cases",664
"33",2020-04-15,"Chicago","Cases",629
"34",2020-04-16,"Chicago","Cases",679
"35",2020-04-17,"Chicago","Cases",776
"36",2020-04-18,"Chicago","Cases",534
"37",2020-04-19,"Chicago","Cases",458
"38",2020-04-20,"Chicago","Cases",989
"39",2020-04-21,"Chicago","Cases",870
"40",2020-04-22,"Chicago","Cases",1054
"41",2020-04-23,"Chicago","Cases",1465
"42",2020-04-24,"Chicago","Cases",1074
"43",2020-04-25,"Chicago","Cases",632
"44",2020-04-26,"Chicago","Cases",434
"45",2020-04-27,"Chicago","Cases",1156
"46",2020-04-28,"Chicago","Cases",1323
"47",2020-04-29,"Chicago","Cases",1151
"48",2020-04-30,"Chicago","Cases",1270
"49",2020-05-01,"Chicago","Cases",1170
"50",2020-05-02,"Chicago","Cases",718
"51",2020-05-03,"Chicago","Cases",469
"52",2020-05-04,"Chicago","Cases",1119
"53",2020-05-05,"Chicago","Cases",1090
"54",2020-05-06,"Chicago","Cases",974
"55",2020-05-07,"Chicago","Cases",939
"56",2020-05-08,"Chicago","Cases",924
"57",2020-05-09,"Chicago","Cases",521
"58",2020-05-10,"Chicago","Cases",307
"59",2020-05-11,"Chicago","Cases",1016
"60",2020-05-12,"Chicago","Cases",943
"61",2020-05-13,"Chicago","Cases",876
"62",2020-05-14,"Chicago","Cases",776
"63",2020-05-15,"Chicago","Cases",970
"64",2020-05-16,"Chicago","Cases",515
"65",2020-05-17,"Chicago","Cases",326
"66",2020-05-18,"Chicago","Cases",944
"67",2020-05-19,"Chicago","Cases",891
"68",2020-05-20,"Chicago","Cases",767
"69",2020-05-21,"Chicago","Cases",801
"70",2020-05-22,"Chicago","Cases",724
"71",2020-05-23,"Chicago","Cases",328
"72",2020-05-24,"Chicago","Cases",279
"73",2020-05-25,"Chicago","Cases",252
"74",2020-05-26,"Chicago","Cases",755
"75",2020-05-27,"Chicago","Cases",611
"76",2020-05-28,"Chicago","Cases",522
"77",2020-05-29,"Chicago","Cases",460
"78",2020-05-30,"Chicago","Cases",238
"79",2020-05-31,"Chicago","Cases",121
"80",2020-06-01,"Chicago","Cases",236
"81",2020-06-02,"Chicago","Cases",245
"82",2020-06-03,"Chicago","Cases",280
"83",2020-06-04,"Chicago","Cases",318
"84",2020-06-05,"Chicago","Cases",339
"85",2020-06-06,"Chicago","Cases",170
"86",2020-06-07,"Chicago","Cases",110
"87",2020-06-08,"Chicago","Cases",274
"88",2020-06-09,"Chicago","Cases",254
"89",2020-06-10,"Chicago","Cases",233
"90",2020-06-11,"Chicago","Cases",202
"91",2020-06-12,"Chicago","Cases",248
"92",2020-06-13,"Chicago","Cases",121
"93",2020-06-14,"Chicago","Cases",92
"94",2020-06-15,"Chicago","Cases",235
"95",2020-06-16,"Chicago","Cases",212
"96",2020-06-17,"Chicago","Cases",219
"97",2020-06-18,"Chicago","Cases",184
"98",2020-06-19,"Chicago","Cases",218
"99",2020-06-20,"Chicago","Cases",125
"100",2020-06-21,"Chicago","Cases",47
"101",2020-06-22,"Chicago","Cases",219
"102",2020-06-23,"Chicago","Cases",233
"103",2020-06-24,"Chicago","Cases",243
"104",2020-06-25,"Chicago","Cases",248
"105",2020-06-26,"Chicago","Cases",219
"106",2020-06-27,"Chicago","Cases",130
"107",2020-06-28,"Chicago","Cases",110
"108",2020-06-29,"Chicago","Cases",280
"109",2020-06-30,"Chicago","Cases",265
"110",2020-07-01,"Chicago","Cases",267
"111",2020-07-02,"Chicago","Cases",256
"112",2020-07-03,"Chicago","Cases",176
"113",2020-07-04,"Chicago","Cases",63
"114",2020-07-05,"Chicago","Cases",89
"115",2020-07-06,"Chicago","Cases",284
"116",2020-07-07,"Chicago","Cases",343
"117",2020-07-08,"Chicago","Cases",309
"118",2020-07-09,"Chicago","Cases",288
"119",2020-07-10,"Chicago","Cases",345
"120",2020-07-11,"Chicago","Cases",154
"121",2020-07-12,"Chicago","Cases",97
"122",2020-07-13,"Chicago","Cases",337
"123",2020-07-14,"Chicago","Cases",324
"124",2020-07-15,"Chicago","Cases",267
"125",2020-07-16,"Chicago","Cases",297
"126",2020-07-17,"Chicago","Cases",326
"127",2020-07-18,"Chicago","Cases",132
"128",2020-07-19,"Chicago","Cases",100
"129",2020-07-20,"Chicago","Cases",392
"130",2020-07-21,"Chicago","Cases",291
"131",2020-07-22,"Chicago","Cases",364
"132",2020-07-23,"Chicago","Cases",318
"133",2020-07-24,"Chicago","Cases",347
"134",2020-07-25,"Chicago","Cases",156
"135",2020-07-26,"Chicago","Cases",96
"136",2020-07-27,"Chicago","Cases",361
"137",2020-07-28,"Chicago","Cases",332
"138",2020-07-29,"Chicago","Cases",446
"139",2020-07-30,"Chicago","Cases",340
"140",2020-07-31,"Chicago","Cases",392
"141",2020-08-01,"Chicago","Cases",140
"142",2020-08-02,"Chicago","Cases",95
"143",2020-08-03,"Chicago","Cases",428
"144",2020-08-04,"Chicago","Cases",369
"145",2020-08-05,"Chicago","Cases",378
"146",2020-08-06,"Chicago","Cases",349
"147",2020-08-07,"Chicago","Cases",418
"148",2020-08-08,"Chicago","Cases",177
"149",2020-08-09,"Chicago","Cases",115
"150",2020-08-10,"Chicago","Cases",376
"151",2020-08-11,"Chicago","Cases",384
"152",2020-08-12,"Chicago","Cases",433
"153",2020-08-13,"Chicago","Cases",391
"154",2020-08-14,"Chicago","Cases",347
"155",2020-08-15,"Chicago","Cases",221
"156",2020-08-16,"Chicago","Cases",120
"157",2020-08-17,"Chicago","Cases",493
"158",2020-08-18,"Chicago","Cases",412
"159",2020-08-19,"Chicago","Cases",484
"160",2020-08-20,"Chicago","Cases",424
"161",2020-08-21,"Chicago","Cases",431
"162",2020-08-22,"Chicago","Cases",191
"163",2020-08-23,"Chicago","Cases",129
"164",2020-08-24,"Chicago","Cases",556
"165",2020-08-25,"Chicago","Cases",412
"166",2020-08-26,"Chicago","Cases",388
"167",2020-08-27,"Chicago","Cases",385
"168",2020-08-28,"Chicago","Cases",382
"169",2020-08-29,"Chicago","Cases",235
"170",2020-08-30,"Chicago","Cases",101
"171",2020-08-31,"Chicago","Cases",413
"172",2020-09-01,"Chicago","Cases",331
"173",2020-09-02,"Chicago","Cases",407
"174",2020-09-03,"Chicago","Cases",340
"175",2020-09-04,"Chicago","Cases",396
"176",2020-09-05,"Chicago","Cases",203
"177",2020-09-06,"Chicago","Cases",143
"178",2020-09-07,"Chicago","Cases",72
"179",2020-09-08,"Chicago","Cases",368
"180",2020-09-09,"Chicago","Cases",401
"181",2020-09-10,"Chicago","Cases",329
"182",2020-09-11,"Chicago","Cases",343
"183",2020-09-12,"Chicago","Cases",136
"184",2020-09-13,"Chicago","Cases",123
"185",2020-09-14,"Chicago","Cases",430
"186",2020-09-15,"Chicago","Cases",354
"187",2020-09-16,"Chicago","Cases",366
"188",2020-09-17,"Chicago","Cases",393
"189",2020-09-18,"Chicago","Cases",358
"190",2020-09-19,"Chicago","Cases",170
"191",2020-09-20,"Chicago","Cases",109
"192",2020-09-21,"Chicago","Cases",421
"193",2020-09-22,"Chicago","Cases",352
"194",2020-09-23,"Chicago","Cases",391
"195",2020-09-24,"Chicago","Cases",409
"196",2020-09-25,"Chicago","Cases",380
"197",2020-09-26,"Chicago","Cases",232
"198",2020-09-27,"Chicago","Cases",168
"199",2020-09-28,"Chicago","Cases",420
"200",2020-09-29,"Chicago","Cases",382
"201",2020-09-30,"Chicago","Cases",465
"202",2020-10-01,"Chicago","Cases",362
"203",2020-10-02,"Chicago","Cases",412
"204",2020-10-03,"Chicago","Cases",223
"205",2020-10-04,"Chicago","Cases",150
"206",2020-10-05,"Chicago","Cases",552
"207",2020-10-06,"Chicago","Cases",556
"208",2020-10-07,"Chicago","Cases",546
"209",2020-10-08,"Chicago","Cases",606
"210",2020-10-09,"Chicago","Cases",669
"211",2020-10-10,"Chicago","Cases",444
"212",2020-10-11,"Chicago","Cases",299
"213",2020-10-12,"Chicago","Cases",681
"214",2020-10-13,"Chicago","Cases",881
"215",2020-10-14,"Chicago","Cases",851
"216",2020-10-15,"Chicago","Cases",907
"217",2020-10-16,"Chicago","Cases",953
"218",2020-10-17,"Chicago","Cases",547
"219",2020-10-18,"Chicago","Cases",347
"220",2020-10-19,"Chicago","Cases",1167
"221",2020-10-20,"Chicago","Cases",1195
"222",2020-10-21,"Chicago","Cases",1180
"223",2020-10-22,"Chicago","Cases",1306
"224",2020-10-23,"Chicago","Cases",1018
"225",2020-10-24,"Chicago","Cases",886
"226",2020-10-25,"Chicago","Cases",527
"227",2020-10-26,"Chicago","Cases",1540
"228",2020-10-27,"Chicago","Cases",1629
"229",2020-10-28,"Chicago","Cases",1745
"230",2020-10-29,"Chicago","Cases",1885
"231",2020-10-30,"Chicago","Cases",1868
"232",2020-10-31,"Chicago","Cases",1065
"233",2020-11-01,"Chicago","Cases",728
"234",2020-11-02,"Chicago","Cases",2317
"235",2020-11-03,"Chicago","Cases",2140
"236",2020-11-04,"Chicago","Cases",2508
"237",2020-11-05,"Chicago","Cases",2635
"238",2020-11-06,"Chicago","Cases",2776
"239",2020-11-07,"Chicago","Cases",1572
"240",2020-11-08,"Chicago","Cases",1106
"241",2020-11-09,"Chicago","Cases",3220
"242",2020-11-10,"Chicago","Cases",3346
"243",2020-11-11,"Chicago","Cases",2479
"244",2020-11-12,"Chicago","Cases",2920
"245",2020-11-13,"Chicago","Cases",2690
"246",2020-11-14,"Chicago","Cases",1400
"247",2020-11-15,"Chicago","Cases",833
"248",2020-11-16,"Chicago","Cases",2559
"249",2020-11-17,"Chicago","Cases",2457
"250",2020-11-18,"Chicago","Cases",2316
"251",2020-11-19,"Chicago","Cases",2169
"252",2020-11-20,"Chicago","Cases",2302
"253",2020-11-21,"Chicago","Cases",1264
"254",2020-11-22,"Chicago","Cases",781
"255",2020-11-23,"Chicago","Cases",2378
"256",2020-11-24,"Chicago","Cases",1927
"257",2020-11-25,"Chicago","Cases",1830
"258",2020-11-26,"Chicago","Cases",265
"259",2020-11-27,"Chicago","Cases",1250
"260",2020-11-28,"Chicago","Cases",1374
"261",2020-11-29,"Chicago","Cases",892
"262",2020-11-30,"Chicago","Cases",2379
"263",2020-12-01,"Chicago","Cases",2188
"264",2020-12-02,"Chicago","Cases",2051
"265",2020-12-03,"Chicago","Cases",2070
"266",2020-12-04,"Chicago","Cases",1852
"267",2020-12-05,"Chicago","Cases",1205
"268",2020-12-06,"Chicago","Cases",709
"269",2020-12-07,"Chicago","Cases",2060
"270",2020-12-08,"Chicago","Cases",2060
"271",2020-12-09,"Chicago","Cases",1755
"272",2020-12-10,"Chicago","Cases",1704
"273",2020-12-11,"Chicago","Cases",1675
"274",2020-12-12,"Chicago","Cases",912
"275",2020-12-13,"Chicago","Cases",610
"276",2020-12-14,"Chicago","Cases",1464
"277",2020-12-15,"Chicago","Cases",1620
"278",2020-12-16,"Chicago","Cases",1384
"279",2020-12-17,"Chicago","Cases",1348
"280",2020-12-18,"Chicago","Cases",1297
"281",2020-12-19,"Chicago","Cases",858
"282",2020-12-20,"Chicago","Cases",583
"283",2020-12-21,"Chicago","Cases",1471
"284",2020-12-22,"Chicago","Cases",1343
"285",2020-12-23,"Chicago","Cases",1219
"286",2020-12-24,"Chicago","Cases",620
"287",2020-12-25,"Chicago","Cases",162
"288",2020-12-26,"Chicago","Cases",958
"289",2020-12-27,"Chicago","Cases",617
"290",2020-12-28,"Chicago","Cases",1669
"291",2020-12-29,"Chicago","Cases",1720
"292",2020-12-30,"Chicago","Cases",1449
"293",2020-12-31,"Chicago","Cases",976
"294",2021-01-01,"Chicago","Cases",266
"295",2021-01-02,"Chicago","Cases",1113
"296",2021-01-03,"Chicago","Cases",645
"297",2021-01-04,"Chicago","Cases",1880
"298",2021-01-05,"Chicago","Cases",1604
"299",2021-01-06,"Chicago","Cases",1462
"300",2021-01-07,"Chicago","Cases",1381
"301",2021-01-08,"Chicago","Cases",1210
"302",2021-01-09,"Chicago","Cases",781
"303",2021-01-10,"Chicago","Cases",500
"304",2021-01-11,"Chicago","Cases",1361
"305",2021-01-12,"Chicago","Cases",1090
"306",2021-01-13,"Chicago","Cases",1113
"307",2021-01-14,"Chicago","Cases",1052
"308",2021-01-15,"Chicago","Cases",1023
"309",2021-01-16,"Chicago","Cases",628
"310",2021-01-17,"Chicago","Cases",396
"311",2021-01-18,"Chicago","Cases",715
"312",2021-01-19,"Chicago","Cases",1086
"313",2021-01-20,"Chicago","Cases",790
"314",2021-01-21,"Chicago","Cases",817
"315",2021-01-22,"Chicago","Cases",737
"316",2021-01-23,"Chicago","Cases",582
"317",2021-01-24,"Chicago","Cases",338
"318",2021-01-25,"Chicago","Cases",859
"319",2021-01-26,"Chicago","Cases",641
"320",2021-01-27,"Chicago","Cases",658
"321",2021-01-28,"Chicago","Cases",609
"322",2021-01-29,"Chicago","Cases",590
"323",2021-01-30,"Chicago","Cases",422
"324",2021-01-31,"Chicago","Cases",162
"325",2021-02-01,"Chicago","Cases",611
"326",2021-02-02,"Chicago","Cases",647
"327",2021-02-03,"Chicago","Cases",576
"328",2021-02-04,"Chicago","Cases",534
"329",2021-02-05,"Chicago","Cases",406
"330",2021-02-06,"Chicago","Cases",266
"331",2021-02-07,"Chicago","Cases",211
"332",2021-02-08,"Chicago","Cases",391
"333",2021-02-09,"Chicago","Cases",413
"334",2021-02-10,"Chicago","Cases",366
"335",2021-02-11,"Chicago","Cases",442
"336",2021-02-12,"Chicago","Cases",357
"337",2021-02-13,"Chicago","Cases",221
"338",2021-02-14,"Chicago","Cases",144
"339",2021-02-15,"Chicago","Cases",258
"340",2021-02-16,"Chicago","Cases",212
"341",2021-02-17,"Chicago","Cases",386
"342",2021-02-18,"Chicago","Cases",316
"343",2021-02-19,"Chicago","Cases",321
"344",2021-02-20,"Chicago","Cases",214
"345",2021-02-21,"Chicago","Cases",158
"346",2021-02-22,"Chicago","Cases",391
"347",2021-02-23,"Chicago","Cases",315
"348",2021-02-24,"Chicago","Cases",336
"349",2021-02-25,"Chicago","Cases",282
"350",2021-02-26,"Chicago","Cases",359
"351",2021-02-27,"Chicago","Cases",179
"352",2021-02-28,"Chicago","Cases",150
"353",2021-03-01,"Chicago","Cases",313
"354",2021-03-02,"Chicago","Cases",331
"355",2021-03-03,"Chicago","Cases",337
"356",2021-03-04,"Chicago","Cases",283
"357",2021-03-05,"Chicago","Cases",289
"358",2021-03-06,"Chicago","Cases",215
"359",2021-03-07,"Chicago","Cases",174
"360",2021-03-08,"Chicago","Cases",323
"361",2021-03-09,"Chicago","Cases",327
"362",2021-03-10,"Chicago","Cases",331
"363",2021-03-11,"Chicago","Cases",345
"364",2021-03-12,"Chicago","Cases",347
"365",2021-03-13,"Chicago","Cases",252
"366",2021-03-14,"Chicago","Cases",183
"367",2021-03-15,"Chicago","Cases",366
"368",2021-03-16,"Chicago","Cases",446
"369",2021-03-17,"Chicago","Cases",476
"370",2021-03-18,"Chicago","Cases",418
"371",2021-03-19,"Chicago","Cases",434
"372",2021-03-20,"Chicago","Cases",275
"373",2021-03-21,"Chicago","Cases",220
"374",2021-03-22,"Chicago","Cases",534
"375",2021-03-23,"Chicago","Cases",562
"376",2021-03-24,"Chicago","Cases",674
"377",2021-03-25,"Chicago","Cases",667
"378",2021-03-26,"Chicago","Cases",592
"379",2021-03-27,"Chicago","Cases",405
"380",2021-03-28,"Chicago","Cases",347
"381",2021-03-29,"Chicago","Cases",723
"382",2021-03-30,"Chicago","Cases",721
"383",2021-03-31,"Chicago","Cases",705
"384",2021-04-01,"Chicago","Cases",715
"385",2021-04-02,"Chicago","Cases",672
"386",2021-04-03,"Chicago","Cases",454
"387",2021-04-04,"Chicago","Cases",300
"388",2021-04-05,"Chicago","Cases",925
"389",2021-04-06,"Chicago","Cases",859
"390",2021-04-07,"Chicago","Cases",835
"391",2021-04-08,"Chicago","Cases",850
"392",2021-04-09,"Chicago","Cases",770
"393",2021-04-10,"Chicago","Cases",546
"394",2021-04-11,"Chicago","Cases",357
"395",2021-04-12,"Chicago","Cases",887
"396",2021-04-13,"Chicago","Cases",679
"397",2021-04-14,"Chicago","Cases",773
"398",2021-04-15,"Chicago","Cases",624
"399",2021-04-16,"Chicago","Cases",668
"400",2021-04-17,"Chicago","Cases",435
"401",2021-04-18,"Chicago","Cases",318
"402",2021-04-19,"Chicago","Cases",647
"403",2021-04-20,"Chicago","Cases",427
"404",2021-04-21,"Chicago","Cases",217
"405",2021-04-22,"Chicago","Cases",3
"406",2020-03-14,"Chicago","Deaths",0
"407",2020-03-15,"Chicago","Deaths",0
"408",2020-03-16,"Chicago","Deaths",1
"409",2020-03-17,"Chicago","Deaths",1
"410",2020-03-18,"Chicago","Deaths",1
"411",2020-03-19,"Chicago","Deaths",2
"412",2020-03-20,"Chicago","Deaths",0
"413",2020-03-21,"Chicago","Deaths",2
"414",2020-03-22,"Chicago","Deaths",2
"415",2020-03-23,"Chicago","Deaths",3
"416",2020-03-24,"Chicago","Deaths",2
"417",2020-03-25,"Chicago","Deaths",5
"418",2020-03-26,"Chicago","Deaths",2
"419",2020-03-27,"Chicago","Deaths",8
"420",2020-03-28,"Chicago","Deaths",4
"421",2020-03-29,"Chicago","Deaths",20
"422",2020-03-30,"Chicago","Deaths",12
"423",2020-03-31,"Chicago","Deaths",16
